codigo_uf;uf;codigo_do_territorio;territorio;tipo_rural_ou_cidadania;municipio;ibge
32;Espírito Santo;109;Das Montanhas e Águas do Espírito - ES;TR ;Castelo;3201407
32;Espírito Santo;64;Norte - ES;RC ;Conceição da Barra;3201605
32;Espírito Santo;72;Pólo Colatina - ES;TR ;Colatina;3201506
42;Santa Catarina;9;Alto Uruguai - SC;TR ;Paial;4211876
32;Espírito Santo;109;Das Montanhas e Águas do Espírito - ES;TR ;Conceição do Castelo;3201704
32;Espírito Santo;26;Caparaó - ES;RC ;Divino de São Lourenço;3201803
32;Espírito Santo;109;Das Montanhas e Águas do Espírito - ES;TR ;Domingos Martins;3201902
32;Espírito Santo;26;Caparaó - ES;RC ;Dores do Rio Preto;3202009
32;Espírito Santo;64;Norte - ES;RC ;Ecoporanga;3202108
32;Espírito Santo;108;Juparanã - ES;TR ;Fundão;3202207
32;Espírito Santo;72;Pólo Colatina - ES;TR ;Governador Lindenberg;3202256
32;Espírito Santo;26;Caparaó - ES;RC ;Guaçuí;3202306
32;Espírito Santo;128;Sul Litorâneo - ES;TR ;Guarapari;3202405
32;Espírito Santo;26;Caparaó - ES;RC ;Ibatiba;3202454
32;Espírito Santo;108;Juparanã - ES;TR ;Ibiraçu;3202504
32;Espírito Santo;26;Caparaó - ES;RC ;Ibitirama;3202553
32;Espírito Santo;128;Sul Litorâneo - ES;TR ;Iconha;3202603
32;Espírito Santo;26;Caparaó - ES;RC ;Irupi;3202652
32;Espírito Santo;72;Pólo Colatina - ES;TR ;Itaguaçu;3202702
32;Espírito Santo;128;Sul Litorâneo - ES;TR ;Itapemirim;3202801
32;Espírito Santo;72;Pólo Colatina - ES;TR ;Itarana;3202900
32;Espírito Santo;26;Caparaó - ES;RC ;Iúna;3203007
32;Espírito Santo;64;Norte - ES;RC ;Jaguaré;3203056
32;Espírito Santo;26;Caparaó - ES;RC ;Jerônimo Monteiro;3203106
32;Espírito Santo;108;Juparanã - ES;TR ;João Neiva;3203130
32;Espírito Santo;72;Pólo Colatina - ES;TR ;Laranja da Terra;3203163
32;Espírito Santo;108;Juparanã - ES;TR ;Linhares;3203205
42;Santa Catarina;156;Serra Catarinense - SC;TR ;Painel;4211892
32;Espírito Santo;72;Pólo Colatina - ES;TR ;Mantenópolis;3203304
32;Espírito Santo;128;Sul Litorâneo - ES;TR ;Marataízes;3203320
32;Espírito Santo;109;Das Montanhas e Águas do Espírito - ES;TR ;Marechal Floriano;3203346
32;Espírito Santo;72;Pólo Colatina - ES;TR ;Marilândia;3203353
32;Espírito Santo;221;Sul Capixaba - ES;NV ;Mimoso do Sul;3203403
32;Espírito Santo;64;Norte - ES;RC ;Montanha;3203502
32;Espírito Santo;64;Norte - ES;RC ;Mucurici;3203601
32;Espírito Santo;26;Caparaó - ES;RC ;Muniz Freire;3203700
32;Espírito Santo;221;Sul Capixaba - ES;NV ;Muqui;3203809
32;Espírito Santo;64;Norte - ES;RC ;Nova Venécia;3203908
32;Espírito Santo;72;Pólo Colatina - ES;TR ;Pancas;3204005
32;Espírito Santo;64;Norte - ES;RC ;Pedro Canário;3204054
32;Espírito Santo;64;Norte - ES;RC ;Pinheiros;3204104
32;Espírito Santo;128;Sul Litorâneo - ES;TR ;Piúma;3204203
32;Espírito Santo;64;Norte - ES;RC ;Ponto Belo;3204252
32;Espírito Santo;128;Sul Litorâneo - ES;TR ;Presidente Kennedy;3204302
32;Espírito Santo;108;Juparanã - ES;TR ;Rio Bananal;3204351
32;Espírito Santo;128;Sul Litorâneo - ES;TR ;Rio Novo do Sul;3204401
32;Espírito Santo;109;Das Montanhas e Águas do Espírito - ES;TR ;Santa Leopoldina;3204500
32;Espírito Santo;109;Das Montanhas e Águas do Espírito - ES;TR ;Santa Maria de Jetibá;3204559
32;Espírito Santo;109;Das Montanhas e Águas do Espírito - ES;TR ;Santa Teresa;3204609
32;Espírito Santo;72;Pólo Colatina - ES;TR ;São Domingos do Norte;3204658
32;Espírito Santo;64;Norte - ES;RC ;São Gabriel da Palha;3204708
32;Espírito Santo;26;Caparaó - ES;RC ;São José do Calçado;3204807
32;Espírito Santo;64;Norte - ES;RC ;São Mateus;3204906
32;Espírito Santo;72;Pólo Colatina - ES;TR ;São Roque do Canaã;3204955
32;Espírito Santo;108;Juparanã - ES;TR ;Sooretama;3205010
